Pool,SPECIES,ID,CTM,TotalLength,Mass
7,CHRERY,1,33.64,58,1.19
7,CHRERY,2,33.33,57,0.9
7,CHRERY,3,33.12,48,0.65
7,CHRERY,4,34.27,64,1.39
7,CHRERY,5,33.64,56,0.92
7,CHRERY,6,33.54,67,1.37
7,CHRERY,7,32.39,54,0.87
7,CHRERY,8,33.12,54,0.8
7,CHRERY,10,34.69,55,0.78
7,CAMANO,1,36.51,65,1.73
7,CAMANO,2,36.73,73,2.4
7,CAMANO,3,34.06,64,1.84
7,CAMANO,4,35.44,61,1.13
7,CAMANO,5,36.51,58,1.25
7,CAMANO,6,35.54,54,1.05
7,CAMANO,7,36.4,60,1.17
7,CAMANO,8,35.01,65,1.75
7,CAMANO,9,36.62,51,0.87
7,CAMANO,10,35.86,48,0.6
12,CHRERY,1,31.06,61,1.3
12,CHRERY,2,31.37,54,0.82
12,CHRERY,3,31.68,46,0.65
12,CHRERY,4,31.37,58,1.23
12,CHRERY,5,30.96,53,0.97
12,CHRERY,6,31.17,49,0.7
12,CHRERY,7,30.66,49,0.7
12,CHRERY,8,31.27,44,0.58
12,CHRERY,9,31.57,51,0.86
12,CHRERY,10,30.96,48,0.73
12,CAMANO,1,32.5,55,1.2
12,CAMANO,2,32.39,58,1.34
12,CAMANO,3,32.7,62,1.51
12,CAMANO,4,31.78,64,1.72
12,CAMANO,5,31.78,69,2.56
12,CAMANO,6,31.37,60,1.45
12,CAMANO,7,32.39,58,1.43
12,CAMANO,8,32.09,64,1.54
12,CAMANO,9,33.56,70,2.7
12,CAMANO,10,31.57,51,0.96
1,CHRERY,1,32.19,52,0.62
1,CHRERY,2,32.09,48,0.6
1,CHRERY,3,32.39,59,1.13
1,CHRERY,4,32.09,52,0.72
1,CHRERY,5,33.89,44,0.46
1,CHRERY,6,32.09,48,0.6
1,CHRERY,7,33.85,41,0.35
1,CAMANO,1,34.69,49,0.83
1,CAMANO,2,34.48,46,0.56
1,CAMANO,3,33.85,52,0.79
1,CAMANO,4,35.44,47,0.7
1,CAMANO,5,36.73,42,0.55
1,CAMANO,6,34.48,47,0.73
1,CAMANO,7,35.46,46,0.64
1,CAMANO,8,34.69,53,1
